date,moving_avg_score
2023-05-11,0.024301996102204192
2023-05-12,0.1724160999059677
2023-05-13,-0.1179032867605036
2023-05-14,0.10302113162146674
2023-05-15,-0.04764232805797032
2023-05-16,-0.002617710828781128
2023-05-17,0.059552626950400214
2023-05-18,0.27073764168854914
2023-05-19,0.08608213928010729
2023-05-20,0.014329209047205308
2023-05-21,-0.30938857462671066
2023-05-22,0.17512746651967367
2023-05-23,0.38024201878794917
2023-05-24,0.006524972072461757
2023-05-25,0.107046480178833
2023-05-26,-0.11390411351100509
2023-05-27,-0.11336366114793
2023-05-28,-0.08328926712274551
2023-05-29,0.26767701877130046
2023-05-30,0.32015690248306483
2023-05-31,0.07048011819521587
2023-06-01,0.1790655095909917
2023-06-02,0.020901943125375886
2023-06-03,-0.23814077723410823
2023-06-04,-0.2571472250498258
2023-06-05,-0.0625878910605724
2023-06-06,-0.19087123605940076
2023-06-07,0.1677293519383853
2023-06-08,0.015972353518009186
