Date,Adj Close,Volume
2021-06-30T00:00:00.000,15.1082935333,333900
2021-07-01T00:00:00.000,14.8784723282,228800
2021-07-02T00:00:00.000,14.9883871078,367200
2021-07-06T00:00:00.000,14.9983797073,654000
2021-07-07T00:00:00.000,14.8784723282,358500
2021-07-08T00:00:00.000,14.7285881042,201800
2021-07-09T00:00:00.000,14.888463974,176100
2021-07-12T00:00:00.000,14.9284334183,242900
2021-07-13T00:00:00.000,14.888463974,249100
2021-07-14T00:00:00.000,14.7485733032,186900
2021-07-15T00:00:00.000,14.5287427902,167100
2021-07-16T00:00:00.000,14.3688669205,97900
2021-07-19T00:00:00.000,14.2989215851,106000
2021-07-20T00:00:00.000,14.4488048553,79800
2021-07-21T00:00:00.000,14.6586427689,75700
2021-07-22T00:00:00.000,14.6976118088,86300
2021-07-23T00:00:00.000,14.7885417938,164000
2021-07-26T00:00:00.000,14.6186733246,114100
2021-07-27T00:00:00.000,14.3488817215,130900
2021-07-28T00:00:00.000,14.6116790771,67000
2021-07-29T00:00:00.000,14.7056064606,92800
2021-07-30T00:00:00.000,14.6086807251,67300
2021-08-02T00:00:00.000,14.6286659241,87700
2021-08-03T00:00:00.000,14.558719635,119300
2021-08-04T00:00:00.000,14.7086038589,98600
2021-08-05T00:00:00.000,14.7185955048,220200
2021-08-06T00:00:00.000,14.6386575699,143700
2021-08-09T00:00:00.000,14.7995328903,115200
2021-08-10T00:00:00.000,14.6586427689,131600
2021-08-11T00:00:00.000,14.68861866,260900
2021-08-12T00:00:00.000,14.7385807037,153500
2021-08-13T00:00:00.000,14.7285881042,93600
2021-08-16T00:00:00.000,14.5387353897,194200
2021-08-17T00:00:00.000,14.2989215851,199600
2021-08-18T00:00:00.000,14.2589521408,222500
2021-08-19T00:00:00.000,14.2189826965,110200
2021-08-20T00:00:00.000,14.4388122559,100000
2021-08-23T00:00:00.000,14.7385807037,161900
2021-08-24T00:00:00.000,14.8984565735,191000
2021-08-25T00:00:00.000,15.0083723068,171500
2021-08-26T00:00:00.000,14.7985343933,173900
2021-08-27T00:00:00.000,14.9484176636,123000
2021-08-30T00:00:00.000,15.018362999,221500
2021-08-31T00:00:00.000,15.0983018875,155300
2021-09-01T00:00:00.000,15.2282009125,1841900
2021-09-02T00:00:00.000,15.218208313,301700
2021-09-03T00:00:00.000,15.3381166458,283400
2021-09-07T00:00:00.000,15.3980693817,289300
2021-09-08T00:00:00.000,15.1982240677,374500
2021-09-09T00:00:00.000,15.1682481766,217700
2021-09-10T00:00:00.000,15.1082935333,158100
2021-09-13T00:00:00.000,15.018362999,351700
2021-09-14T00:00:00.000,14.978394508400001,122800
2021-09-15T00:00:00.000,14.9983797073,165900
2021-09-16T00:00:00.000,15.018362999,124700
2021-09-17T00:00:00.000,14.9184417725,98600
2021-09-20T00:00:00.000,14.4188289642,349600
2021-09-21T00:00:00.000,14.5487279892,140400
2021-09-22T00:00:00.000,14.7185955048,118400
2021-09-23T00:00:00.000,14.9184417725,133200
2021-09-24T00:00:00.000,14.8984565735,143900
2021-09-27T00:00:00.000,14.7885417938,94500
2021-09-28T00:00:00.000,14.2589521408,335000
2021-09-29T00:00:00.000,14.1490373611,383300
2021-09-30T00:00:00.000,14.1490373611,124500
2021-10-01T00:00:00.000,14.2389678955,120000
2021-10-04T00:00:00.000,13.8892383575,211900
2021-10-05T00:00:00.000,14.029129982,76300
2021-10-06T00:00:00.000,14.0890836716,80800
2021-10-07T00:00:00.000,14.37885952,154500
2021-10-08T00:00:00.000,14.2989215851,118600
2021-10-11T00:00:00.000,14.2189826965,74400
2021-10-12T00:00:00.000,14.2189826965,80100
2021-10-13T00:00:00.000,14.4288196564,257200
2021-10-14T00:00:00.000,14.6286659241,103700
2021-10-15T00:00:00.000,14.7685565948,177900
2021-10-18T00:00:00.000,14.908449173,145300
2021-10-19T00:00:00.000,15.1482629776,211600
2021-10-20T00:00:00.000,15.1082935333,210700
2021-10-21T00:00:00.000,15.2981472015,277500
2021-10-22T00:00:00.000,14.9284334183,274400
2021-10-25T00:00:00.000,15.0283555984,410600
2021-10-26T00:00:00.000,15.0283555984,663600
2021-10-27T00:00:00.000,14.9184417725,338900
2021-10-28T00:00:00.000,15.2082166672,2215900
2021-10-29T00:00:00.000,15.3081388474,1734100
2021-11-01T00:00:00.000,15.4879999161,2482300
2021-11-02T00:00:00.000,15.4580230713,1446900
2021-11-03T00:00:00.000,15.5879230499,1428300
2021-11-04T00:00:00.000,15.8077516556,1772300
2021-11-05T00:00:00.000,15.7378063202,2371100
2021-11-08T00:00:00.000,15.9776201248,3610400
2021-11-09T00:00:00.000,16.3773097992,5028800
2021-11-10T00:00:00.000,15.8976821899,3672000
2021-11-11T00:00:00.000,16.0775432587,2476100
2021-11-12T00:00:00.000,16.4372653961,3764500
2021-11-15T00:00:00.000,16.5172023773,7582900
2021-11-16T00:00:00.000,16.7570171356,5542500
2021-11-17T00:00:00.000,16.7170467377,6534300
2021-11-18T00:00:00.000,16.8269634247,7976500
2021-11-19T00:00:00.000,16.8869152069,5918500
2021-11-22T00:00:00.000,16.2873802185,7956100
2021-11-23T00:00:00.000,16.0875358582,4574600
2021-11-24T00:00:00.000,16.2673969269,3151800
2021-11-26T00:00:00.000,15.9976053238,4180000
2021-11-29T00:00:00.000,16.3673171997,4274000
2021-11-30T00:00:00.000,16.0875358582,4992400
2021-12-01T00:00:00.000,15.4580230713,6198800
2021-12-02T00:00:00.000,15.5879230499,2956300
2021-12-03T00:00:00.000,15.1782398224,4098300
2021-12-06T00:00:00.000,15.2481861115,2918800
2021-12-07T00:00:00.000,15.8277368546,2558800
2021-12-08T00:00:00.000,16.0275821686,2932900
2021-12-09T00:00:00.000,15.567937851,2600900
2021-12-10T00:00:00.000,15.5079851151,1848300
2021-12-13T00:00:00.000,15.2282009125,2178500
2021-12-14T00:00:00.000,15.0483407974,2662900
2021-12-15T00:00:00.000,15.2681703568,2356300
2021-12-16T00:00:00.000,14.7785491943,2511100
2021-12-17T00:00:00.000,14.888463974,2285300
2021-12-20T00:00:00.000,14.6386575699,1757600
2021-12-21T00:00:00.000,15.1582555771,1606700
2021-12-22T00:00:00.000,15.2282009125,2487000
2021-12-23T00:00:00.000,15.3481082916,1889100
2021-12-27T00:00:00.000,15.5879230499,2088900
2021-12-28T00:00:00.000,15.3580999374,2091800
2021-12-29T00:00:00.000,15.238193512,1754700
2021-12-30T00:00:00.000,15.2981472015,1481500
2021-12-31T00:00:00.000,15.1682481766,1367300
2022-01-03T00:00:00.000,15.238193512,2271700
2022-01-04T00:00:00.000,14.8984565735,3030700
2022-01-05T00:00:00.000,14.228975296,3229300
2022-01-06T00:00:00.000,14.2689437866,2934400
2022-01-07T00:00:00.000,14.1190605164,1947900
2022-01-10T00:00:00.000,14.1190605164,2545000
2022-01-11T00:00:00.000,14.4488048553,1712200
