id,created_at,text
1667014896582553600,2023-06-09T03:44:57.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014896398004228,2023-06-09T03:44:57.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014896175706123,2023-06-09T03:44:57.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014896028884992,2023-06-09T03:44:57.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014894053457923,2023-06-09T03:44:57.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014893436915712,2023-06-09T03:44:56.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014893373911041,2023-06-09T03:44:56.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014892895850497,2023-06-09T03:44:56.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014891990056961,2023-06-09T03:44:56.000Z,"RT @T_Alexandre_: @OfficialXFS
#metaverse is happy to announce partnering with #kittyOlson a Roc Nation artist on our first Virtual Reality…"
1667014891041959941,2023-06-09T03:44:56.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014890823864321,2023-06-09T03:44:56.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014890626637824,2023-06-09T03:44:56.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014890572087296,2023-06-09T03:44:56.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014890517561346,2023-06-09T03:44:56.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014889938853888,2023-06-09T03:44:56.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014887992709120,2023-06-09T03:44:55.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014887875248129,2023-06-09T03:44:55.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014887703289857,2023-06-09T03:44:55.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014887594131456,2023-06-09T03:44:55.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014886906314753,2023-06-09T03:44:55.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014885933301760,2023-06-09T03:44:55.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014885736165379,2023-06-09T03:44:55.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014885291487233,2023-06-09T03:44:54.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014885270605824,2023-06-09T03:44:54.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014884863938561,2023-06-09T03:44:54.000Z,"RT @T_Alexandre_: @OfficialXFS
#metaverse is happy to announce partnering with #kittyOlson a Roc Nation artist on our first Virtual Reality…"
1667014884402290692,2023-06-09T03:44:54.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014883462848513,2023-06-09T03:44:54.000Z,RT @Shibtoken: Attention all Shib-fans! Get your engines revved up for an exhilarating ride! We're thrilled to unveil the mind-blowing teas…
1667014882846294020,2023-06-09T03:44:54.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014882586181638,2023-06-09T03:44:54.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014882259095553,2023-06-09T03:44:54.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014881910898688,2023-06-09T03:44:54.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014881638248448,2023-06-09T03:44:54.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014881068085249,2023-06-09T03:44:53.000Z,"RT @OfficialXFS: 📣 We want to give a warm welcome to @kokittyolson 
who is signed with the @RocNation label!  🎙️🎶

Watch our interview to l…"
1667014879679598595,2023-06-09T03:44:53.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014879511805954,2023-06-09T03:44:53.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014879461425152,2023-06-09T03:44:53.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014878890950658,2023-06-09T03:44:53.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014878509277186,2023-06-09T03:44:53.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014876928045056,2023-06-09T03:44:52.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014876479324162,2023-06-09T03:44:52.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014876105940992,2023-06-09T03:44:52.000Z,"RT @T_Alexandre_: @OfficialXFS
#metaverse is happy to announce partnering with #kittyOlson a Roc Nation artist on our first Virtual Reality…"
1667014875996979200,2023-06-09T03:44:52.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014875816534022,2023-06-09T03:44:52.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014875766218752,2023-06-09T03:44:52.000Z,"@Polkaverse The entire team has created the most user friendly Metaverse set-up,
This is  good for every gamer,

Thank you very much"
1667014873773924355,2023-06-09T03:44:52.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014873728057345,2023-06-09T03:44:52.000Z,"RT @NetBornGaming: 👑The ultimate metaverse experience. The world of NetBorn is a place where you can do whatever you want, be whoever you w…"
1667014873518153728,2023-06-09T03:44:52.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014873471934465,2023-06-09T03:44:52.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014873396699136,2023-06-09T03:44:52.000Z,"RT @Spears_ETH98: LISTEN UP WEB3. 👹

THE $LOYAL AIRDROP IS NOW LIVE, WAITING TO BE CLAIMED.

🔗 https://t.co/FSu3HMTqSc

#Oculus #REFUND $MO…"
1667014873329586176,2023-06-09T03:44:52.000Z,"RT @OfficialXFS: 📣 We want to give a warm welcome to @kokittyolson 
who is signed with the @RocNation label!  🎙️🎶

Watch our interview to l…"
1667014873304420353,2023-06-09T03:44:52.000Z,"RT @UltiverseDAO: Terminus is ready🚀. How about you❓

#Ultiverse #Metaverse #Terminus https://t.co/JDIwPkqF01"
